"Who told you about us","Waar hoorde je van ons"
"Customer Id","Klant Id"
"Continue","Doorgaan"
"Edit","Bewerk"
"edit","bewerk"
"Back","terug"
"back","terug"
"Registered","Geregistreerd"
"Amount invl VAT","Bedrag incl. BTW"
"Amount ex VAT","Bedrag excl. BTW"
"Order","Bestelling"
"Seller","Verkoper"
"Hearedfrom","Verkocht door"
"Manager","Beheerder"
"Hearedfrom Manager","Beheer Verkoopscommissie"
"Date","Datum"
"Seach","Zoek"
"Commission","Commissie"
"Invoice Period","Facturatie periode"
"Quantity","Aantal"
"Total (excl.vat)","Totaal (excl. Btw)"
"Cancelled","Geannuleerd"
"Overview","Overzicht"
"Financial","Financieel"
"From","Van"
"To","Tot"
"Open","Wachtende"
"Total Invoiced Amount","Totaal gefactureerd"
"Total Tax Amount","Btw"
"Financial Manager","Facturatie Dashboard"
"Invoices overview","Overzicht Facturatie"
"Sales commission","Overzicht Commissie"
"Shipping (excl.vat)","Verzending (excl. Btw)"

