%s Support (free),%s Support
Contact Email,Contact Email
"Contact MageWorx Support Team or visit <a href=""%s"">%s</a> for additional information","Contacteer MageWorx Support Team of bezoek <a href=""%s"">%s</a> voor bijkomende information"
Contact Name,Contact Naam
Customers,Klanten
Extensions Information,Extensions Information
Get Support,Get Support
Installed MageWorx Extensions,Installed MageWorx Extensions
Magento Related Support (paid),Magento Related Support (paid)
MageWorx &gt; Extensions &amp; Support,MageWorx &gt; Extensions &amp; Support
MageWorx &gt; Sales,MageWorx &gt; Sales
MageWorx &gt; SEO Suite,MageWorx &gt; SEO Suite
Message,Boodschap
Message sent,Boodschap verzonden
Other Reason,Andere reden
Please select,Gelieve te selecteren
Reason,Reden
Request New Extension Development (paid),Request New Extension Development (paid)
Sales,Verkopen
Send,Verzend
SEO Suite,SEO Suite
Subject,Onderwerp
Tweaks,Tweaks
