"Customer Group","Klant groep"
"* Required Fields","* Verplichte velden"
"ALL GROUPS","ALLE GROUPEN"
"Account Dashboard","Account Dashboard"
"Account Information","Account Informatie"
"Account Sharing Options","Account Sharing Opties"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Bevestiging van je account is vereist. Gelieve de bestingsemail te controlleren. Om de bevestingsemail opnieuw te verzenden <a href=""%s"">klik je hier</a>."
"Action","Actie"
"Add New Address","Voeg nieuwe adres toe"
"Add New Customer","Voeg nieuwe klant toe"
"Add New Customer Group","Voeg nieuwe klantgroep toe"
"Added From","Toegevoegd van"
"Additional Address Entries","Bijkomende adressen"
"Address","Adres"
"Address Book","Adresboek"
"Address Books","Adresboeken"
"Address Information","Adres informatie"
"Addresses","Adressen"
"Admin","Admin"
"All","Alle"
"All countries","Alle landen"
"Always optional.","Altijd optioneel."
"Amount","Bedrag"
"An error occurred while deleting the address.","Er gebeurde een fout tijdens het verwijdere van het adres."
"An error occurred while retrieving the option value: %s.","Er liep wat fout tijdens het ophalen van de optie waarde : %s."
"An error occurred while saving the collection, aborting. Error: %s","Er liep wat fout tijdens het maken van de verzameling, actie wordt beëindigd. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Een ongeldige optie ID voor %s (%s), record wordt overgeslagen."
"Approved","Goedgekeurd"
"Are you sure that you want to remove this item?","Bent u zeker dat u dit item wil verwijderen?"
"Are you sure you want to cancel adding of this address?","Bent u zeker dat u toevoegen van dit adres wenst te annuleren?"
"Are you sure you want to delete this address?","Bent u zeker dat u dit adres wil verwijderen?"
"Are you sure?","Bent u zeker?"
"Average Sale","Gemiddelde verkoop"
"Back","Terug"
"Back - link to the previously viewed page","Terug - link naar de vorige pagina"
"Back to Login","Terug naar Login"
"Bad request.","Ongeldige request."
"Bill to Name","Factuur aan naam"
"Bought From","Gekocht van"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een acccount aan te maken op onze shop, zal je sneller kunnen winkelen, meerdere verzendadressen kunnen opslaan, je bestellingen kunnen opvolgen in je account en meer."
"Cancel","Annuleer"
"Cannot save a new password.","Je nieuwe paswoord kan niet bewaard worden."
"Cannot save address.","Adres kan niet bewaard worden."
"Cannot save the customer.","Klant kan niet bewaard worden."
"Change Account Password","Wijzig acccount paswoord"
"Change Billing Address","Wijzig factuuradres"
"Change Password","Wijzig paswoord"
