"""%s"" coupon code is not valid.","""%s"" coupon code is not valid."
"%s","%s"
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s bestelling(en) kunnen niet geannuleerd worden"
"%s order(s) have been canceled.","%s bestelling(en) werden gannuleerd."
"%s order(s) have been put on hold.","%s bestelling(en) werden on hold gezet."
"%s order(s) have been released from holding status.","%s bestelling(en) werden uit hold status gehaald."
"%s order(s) were not put on hold.","%s bestelling(en) werden niet on hold gezet."
"%s order(s) were not released from holding status.","%s bestelling(en) werden niet uit hold status gehaald."
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* Required Fields","* Verplichte Velden"
"-- Please Select --","-- Selecteer --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"About This Order:","Over deze bestelling:"
"About This Profile:","Over dit profiel:"
"About Your Invoice","Over je factuur"
"About Your Order","Over je bestelling"
"About Your Refund","Over je teruggave"
"About Your Shipment","Over je verzending"
"Accept Payment","Aanvaard betaling"
"Accept or Deny Payment","Aanvaard of weiger betaling"
"Account Information","Account Informatie"
"Action","Actie"
"Actions","Acties"
"Activate","Activeer"
"Active","Actief"
"Add","Voeg toe"
"Add New Address","Voeg nieuw adres toe"
"Add Order Comments","Voeg bestelling opmerking toe"
"Add Package","Voeg pakket toe"
"Add Products","Voeg product toe"
"Add Selected Product(s) to Option","Voeg geselecteerd(e) product(en) toe aan optie"
"Add Selected Product(s) to Order","Voeg geselecteerd(e) product(en) toe aan bestelling"
"Add Selected Product(s) to Package","Voeg geselecteerd(e) product(en) toe aan pakket"
"Add To Order","Voeg toe aan bestelling"
"Add Tracking Number","Voeg depot toe"
"Add comment to order","Voeg opmerking toe aan bestelling"
"Add new comment to credit memo","Voeg opmerking toe aan credit memo"
"Add new comment to shipment","Voeg opmerking toe aan verzending"
"Add new tracking number","Add new tracking number"
"Add to Cart","In winkelmand"
"Add To Cart","In winkelmand"
"Additional Product Info","Bijkomende product Info"
"Address","Adres"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Advanced Search","Uitgebreid zoeken"
"Agreement Information","Agreement Information"
"Allow Reorder","Allow Reorder"
"Allow","Aanvaard"
"Amount","Bedrag"
"Amount: %s.","Bedrag: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Anchor Custom Title","Anchor Custom Title"
"and","en"
"Append Comments","Voeg opmerking toe"
"Apply","Pas toe"
"Apply Coupon Code","Apply Coupon Code"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","Bent u zeker dat je deze betaling wil aanvaarden?"
"Are you sure you want to cancel this order?","Bent u zeker dat je deze bestelling wil annuleren?"
"Are you sure you want to delete all items from shopping cart?","Bent u zeker dat u all items uit de winkelmand wil verwijderen?"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Are you sure you want to do this?","Bent u zeker dat u dit wil doen?"
"Are you sure you want to send Creditmemo email to customer?","Are you sure you want to send Creditmemo email to customer?"
"Are you sure you want to send Invoice email to customer?","Are you sure you want to send Invoice email to customer?"
"Are you sure you want to send Shipment email to customer?","Are you sure you want to send Shipment email to customer?"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Are you sure?","Are you sure?"
